             version              nb_cpu                   N        nb_iteration        erreur_infty               temps
          0.00000000                 nan          5.00000000         -1.00000000          0.03191593          0.00000100
          1.00000000                 nan          5.00000000        102.00000000          0.03191593          0.00000200
          2.00000000          1.00000000          5.00000000        102.00000000          0.03191593          0.00004100
          2.00000000          2.00000000          5.00000000        102.00000000          0.03191593          0.00086600
          2.00000000          4.00000000          5.00000000        102.00000000          0.03191593          0.00171200
          2.00000000          6.00000000          5.00000000        102.00000000          0.03191593          0.00197000
          2.00000000          8.00000000          5.00000000        102.00000000          0.03191593          0.00238400
          3.00000000          1.00000000          5.00000000        102.00000000          0.03191593          0.00002800
          3.00000000          2.00000000          5.00000000        102.00000000          0.03191593          0.00068700
          3.00000000          4.00000000          5.00000000        102.00000000          0.03191593          0.00086600
          3.00000000          6.00000000          5.00000000        102.00000000          0.03191593          0.00164200
          3.00000000          8.00000000          5.00000000        198.00000000          0.03191593          0.00647100
          4.00000000                 nan          5.00000000                 nan          0.03191593          0.00000100
          0.00000000                 nan         10.00000000         -1.00000000          0.00826542          0.00000200
          1.00000000                 nan         10.00000000        400.00000000          0.00826541          0.00000400
          2.00000000          1.00000000         10.00000000        400.00000000          0.00826541          0.00006700
          2.00000000          2.00000000         10.00000000        400.00000000          0.00826541          0.00236200
          2.00000000          4.00000000         10.00000000        400.00000000          0.00826541          0.00322400
          2.00000000          6.00000000         10.00000000        400.00000000          0.00826541          0.00467100
          2.00000000          8.00000000         10.00000000        400.00000000          0.00826541          0.00636900
          3.00000000          1.00000000         10.00000000        400.00000000          0.00826541          0.00004800
          3.00000000          2.00000000         10.00000000        400.00000000          0.00826541          0.00099600
          3.00000000          4.00000000         10.00000000        400.00000000          0.00826541          0.00144000
          3.00000000          6.00000000         10.00000000        400.00000000          0.00826541          0.00253000
          3.00000000          8.00000000         10.00000000        400.00000000          0.00826541          0.01322700
          4.00000000                 nan         10.00000000                 nan          0.00826542          0.00000100
          0.00000000                 nan         50.00000000         -1.00000000          0.00032905          0.00004300
          1.00000000                 nan         50.00000000       8506.00000000          0.00032900          0.00024700
          2.00000000          1.00000000         50.00000000       8506.00000000          0.00032900          0.00107900
          2.00000000          2.00000000         50.00000000       8506.00000000          0.00032900          0.02831800
          2.00000000          4.00000000         50.00000000       8506.00000000          0.00032900          0.06028400
          2.00000000          6.00000000         50.00000000       8506.00000000          0.00032900          0.10015500
          2.00000000          8.00000000         50.00000000       8506.00000000          0.00032900          0.12894200
          3.00000000          1.00000000         50.00000000       8506.00000000          0.00032900          0.00078800
          3.00000000          2.00000000         50.00000000       8506.00000000          0.00032900          0.01176200
          3.00000000          4.00000000         50.00000000       8506.00000000          0.00032900          0.01368000
          3.00000000          6.00000000         50.00000000       8506.00000000          0.00032900          0.03263100
          3.00000000          8.00000000         50.00000000       8506.00000000          0.00032900          0.04152000
          4.00000000                 nan         50.00000000                 nan          0.00032905          0.00000100
          0.00000000                 nan        100.00000000         -1.00000000          0.00008225          0.00033400
          1.00000000                 nan        100.00000000      31227.00000000          0.00008205          0.00182800
          2.00000000          1.00000000        100.00000000      31227.00000000          0.00008205          0.00574500
          2.00000000          2.00000000        100.00000000      31227.00000000          0.00008205          0.12024400
          2.00000000          4.00000000        100.00000000      31227.00000000          0.00008205          0.23352900
          2.00000000          6.00000000        100.00000000      31227.00000000          0.00008205          0.36808400
          2.00000000          8.00000000        100.00000000      31227.00000000          0.00008205          0.47534500
          3.00000000          1.00000000        100.00000000      31227.00000000          0.00008205          0.00372800
          3.00000000          2.00000000        100.00000000      31227.00000000          0.00008205          0.03833800
          3.00000000          4.00000000        100.00000000      31227.00000000          0.00008205          0.04921800
          3.00000000          6.00000000        100.00000000      31227.00000000          0.00008205          0.11420100
          3.00000000          8.00000000        100.00000000      31227.00000000          0.00008205          0.14275200
          4.00000000                 nan        100.00000000                 nan          0.00008225          0.00000200
          0.00000000                 nan        300.00000000         -1.00000000          0.00000914          0.00849300
          1.00000000                 nan        300.00000000     241002.00000000          0.00000731          0.04594000
          2.00000000          1.00000000        300.00000000     241002.00000000          0.00000731          0.10227000
          2.00000000          2.00000000        300.00000000     241002.00000000          0.00000731          1.06301100
          2.00000000          4.00000000        300.00000000     241002.00000000          0.00000731          1.82193400
          2.00000000          6.00000000        300.00000000     241002.00000000          0.00000731          3.00471000
          2.00000000          8.00000000        300.00000000     241002.00000000          0.00000731          3.80871900
          3.00000000          1.00000000        300.00000000     241002.00000000          0.00000731          0.06387900
          3.00000000          2.00000000        300.00000000     241002.00000000          0.00000731          0.30905400
          3.00000000          4.00000000        300.00000000     241002.00000000          0.00000731          0.38003500
          3.00000000          6.00000000        300.00000000     241002.00000000          0.00000731          0.91615200
          3.00000000          8.00000000        300.00000000     241002.00000000          0.00000731          1.04370200
          4.00000000                 nan        300.00000000                 nan          0.00000914          0.00000700
          0.00000000                 nan        500.00000000         -1.00000000          0.00000329          0.03725100
          1.00000000                 nan        500.00000000     617699.00000000          0.00000178          0.19952700
          2.00000000          1.00000000        500.00000000     617699.00000000          0.00000178          0.41187000
          2.00000000          2.00000000        500.00000000     617699.00000000          0.00000178          2.78821100
          2.00000000          4.00000000        500.00000000     617699.00000000          0.00000178          4.76641900
          2.00000000          6.00000000        500.00000000     617699.00000000          0.00000178          8.19456200
          2.00000000          8.00000000        500.00000000     617699.00000000          0.00000178         10.36832600
          3.00000000          1.00000000        500.00000000     617699.00000000          0.00000178          0.23593600
          3.00000000          2.00000000        500.00000000     617699.00000000          0.00000178          0.81810200
          3.00000000          4.00000000        500.00000000     617699.00000000          0.00000178          0.99816000
          3.00000000          6.00000000        500.00000000     617699.00000000          0.00000178          2.36697500
          3.00000000          8.00000000        500.00000000     617699.00000000          0.00000178          4.19082300
          4.00000000                 nan        500.00000000                 nan          0.00000329          0.00001000
          0.00000000                 nan       1500.00000000         -1.00000000          0.00000037          1.01038200
          1.00000000                 nan       1500.00000000    4557543.00000000          0.00004522          4.75374300
          4.00000000                 nan       1500.00000000                 nan          0.00000037          0.00003000
          0.00000000                 nan       3000.00000000         -1.00000000          0.00000009          8.02229800
          1.00000000                 nan       3000.00000000   15702305.00000000          0.00018223         32.31032500
          4.00000000                 nan       3000.00000000                 nan          0.00000009          0.00005100
